timestamp,model_idx,mae,optimizer,lr,l1,l2,intercept_lr,features
2026-04-17 20:09:29.262912,0,7.129301412904972,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:09:35.057996,0,4.578856820820488,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:09:40.749482,0,3.0955915551090945,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:09:47.130954,0,5.993229288004824,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:09:52.358227,0,8.96476483964808,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:09:57.644814,0,8.096904025440292,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:10:02.780901,0,8.01430842280402,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:10:08.119493,0,10.160122967114622,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:10:13.224050,0,9.24558245092227,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:10:19.401651,0,7.896873212974328,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:10:24.713953,0,8.716791227298426,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:10:29.867411,0,8.044410801149875,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:10:35.441105,0,8.992662716514413,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:10:40.534605,0,8.518070787837086,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:10:45.662145,0,9.035196780284755,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:10:51.832525,0,7.091476777131816,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:10:57.470849,0,9.811582017876116,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:11:02.824958,0,8.767382244606585,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:11:08.087849,0,9.463180119074613,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:11:13.364547,0,8.721000188124505,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:11:18.955028,0,7.5091913701144435,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:11:25.348480,0,7.906060493113019,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:11:30.848244,0,8.339365445854924,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:11:36.232250,0,7.0123986302065004,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:11:41.819847,0,6.316889029051126,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:11:47.018638,0,6.509529585517721,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:11:52.250772,0,5.901881162791686,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:11:58.322941,0,7.027479266345785,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:12:03.605935,0,7.702307485045601,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:12:09.089947,0,6.560568234675916,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:12:14.287420,0,9.707782253994798,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:12:19.409943,0,6.922372390196721,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:12:24.701238,0,10.81981220440515,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:12:30.763546,0,5.788899587475144,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:12:36.078864,0,7.872964223508618,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:12:41.984676,0,12.915387677522364,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:12:47.658888,0,13.897892779410245,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:12:53.183811,0,17.667607121911818,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:12:58.844576,0,19.491411140101864,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:13:05.143690,0,0.9751817307276917,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:13:10.557926,0,1.5252626408341186,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:13:16.009245,0,5.143034599065446,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:13:21.345941,0,1.33044049317232,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:13:27.033856,0,3.3791889991379502,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:13:32.477820,0,1.85666626317231,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:13:38.791098,0,7.387806580687916,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:13:44.337539,0,4.253637818410756,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:13:49.739693,0,5.001866273727653,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:13:55.276122,0,6.624459532329025,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:14:00.938161,0,9.356635863829393,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:14:06.192962,0,8.026308449143542,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:14:12.638523,0,10.73025923452921,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:14:18.057865,0,8.885462568358706,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:14:23.327859,0,9.353678779854214,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:14:28.524038,0,7.944372914260364,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:14:33.818576,0,7.597810432784248,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:14:39.100222,0,9.674721100176187,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:14:45.519326,0,7.894948456552597,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:14:50.809132,0,8.991264930080106,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:14:56.094408,0,9.98361765310092,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:15:01.354315,0,8.857452469413618,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:15:06.650332,0,9.24336578244551,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:15:12.115149,0,10.054343918195011,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:15:18.693190,0,9.13925543972972,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:15:24.287354,0,8.158445025699354,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:15:29.819084,0,6.678734240624096,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:15:35.151782,0,7.334796390438873,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:15:40.576229,0,6.632234070956382,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:15:46.125401,0,6.635354723606032,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:15:52.523384,0,7.096078871165132,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:15:57.868234,0,7.495226099901164,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:16:03.159078,0,6.803112357844042,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:16:08.484013,0,7.437096614990146,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:16:13.781843,0,6.874060989613785,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:16:19.154935,0,5.686435515556752,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:16:25.566277,0,9.584689146302065,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:16:30.837371,0,9.162644837188216,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:16:36.023052,0,9.421448776175149,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:16:41.432616,0,5.860339418716476,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:16:46.776106,0,7.2806711939254845,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:16:52.836776,0,19.882121209862046,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:16:58.741041,0,20.965140715943296,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:17:04.788501,0,17.427599015482556,FTRLProximal,,0.0,0.0,Constant,"num,artists"
2026-04-17 20:17:11.756391,0,18.32201591375222,FTRLProximal,,0.0,0.0,Constant,"num,artists"
